ticket_number,full_name,email
101,Amara Okafor,amara.okafor@example.com
102,Bruno Castellani,bruno.castellani@example.com
103,Chiara Lindqvist,
104,Dmitri Vasquez,dmitri.vasquez@example.com
105,Esperanza Whitfield,
106,Fenella Okonkwo,fenella.okonkwo@example.com
107,Ngô Bảo Châu,ngo.bao.chau@example.com
108,Hyacinth Delacroix,
109,Ignatius Berthold,ignatius.berthold@example.com
110,Jacinda Morrow,
111,Kazimir Antonelli,kazimir.antonelli@example.com
112,Lorelei Vandermeer,
113,Maximilian Osei,maximilian.osei@example.com
114,Nolwenn Fitzgerald,
115,Octavia Brennan,octavia.brennan@example.com
116,Peregrine Salazar,
117,Quintessa Molyneux,quintessa.molyneux@example.com
118,Rosalind Achebe,
119,Sylvester Duvall,sylvester.duvall@example.com
120,Theodora Lindgren,
